cod;nome;período;valor
22;PI;1989;66
21;MA;1989;180
12;AC;1989;55
33;RJ;1989;2981
11;RO;1989;295
35;SP;1989;3014
41;PR;1989;585
32;ES;1989;411
31;MG;1989;518
29;BA;1989;614
42;SC;1989;197
43;RS;1989;923
50;MS;1989;220
51;MT;1989;219
52;GO;1989;518
13;AM;1989;156
14;RR;1989;1
15;PA;1989;383
16;AP;1989;21
17;TO;1989;42
53;DF;1989;205
25;PB;1989;230
26;PE;1989;1721
27;AL;1989;342
28;SE;1989;72
24;RN;1989;138
23;CE;1989;233
29;BA;1990;551
51;MT;1990;195
52;GO;1990;405
53;DF;1990;295
24;RN;1990;124
25;PB;1990;237
26;PE;1990;1776
27;AL;1990;286
28;SE;1990;76
31;MG;1990;604
32;ES;1990;438
43;RS;1990;1170
50;MS;1990;197
14;RR;1990;10
13;AM;1990;205
12;AC;1990;37
11;RO;1990;308
16;AP;1990;18
15;PA;1990;484
17;TO;1990;28
21;MA;1990;203
22;PI;1990;38
23;CE;1990;274
42;SC;1990;227
41;PR;1990;628
35;SP;1990;3178
33;RJ;1990;5611
28;SE;1991;189
27;AL;1991;267
26;PE;1991;2051
43;RS;1991;1266
25;PB;1991;189
24;RN;1991;121
50;MS;1991;247
51;MT;1991;240
23;CE;1991;277
22;PI;1991;36
21;MA;1991;211
17;TO;1991;50
15;PA;1991;526
14;RR;1991;21
13;AM;1991;239
12;AC;1991;74
11;RO;1991;275
53;DF;1991;351
52;GO;1991;486
16;AP;1991;21
42;SC;1991;225
41;PR;1991;650
35;SP;1991;3359
33;RJ;1991;4016
32;ES;1991;502
31;MG;1991;617
29;BA;1991;292
43;RS;1992;1208
13;AM;1992;184
14;RR;1992;54
15;PA;1992;490
16;AP;1992;40
17;TO;1992;46
21;MA;1992;213
22;PI;1992;35
23;CE;1992;225
24;RN;1992;121
25;PB;1992;228
26;PE;1992;1761
27;AL;1992;303
28;SE;1992;328
29;BA;1992;461
31;MG;1992;626
32;ES;1992;402
33;RJ;1992;3618
35;SP;1992;3306
41;PR;1992;649
42;SC;1992;187
50;MS;1992;264
53;DF;1992;301
52;GO;1992;479
51;MT;1992;172
12;AC;1992;55
11;RO;1992;234
11;RO;1993;288
33;RJ;1993;4387
32;ES;1993;580
31;MG;1993;655
25;PB;1993;207
26;PE;1993;1946
53;DF;1993;394
52;GO;1993;445
51;MT;1993;188
50;MS;1993;297
43;RS;1993;869
42;SC;1993;216
41;PR;1993;746
35;SP;1993;3929
29;BA;1993;1050
28;SE;1993;167
27;AL;1993;365
12;AC;1993;67
13;AM;1993;182
14;RR;1993;44
15;PA;1993;394
16;AP;1993;41
17;TO;1993;33
21;MA;1993;179
22;PI;1993;37
23;CE;1993;309
24;RN;1993;164
43;RS;1994;1018
13;AM;1994;205
12;AC;1994;48
11;RO;1994;235
50;MS;1994;323
51;MT;1994;157
52;GO;1994;510
17;TO;1994;35
21;MA;1994;126
22;PI;1994;41
23;CE;1994;291
24;RN;1994;133
25;PB;1994;198
26;PE;1994;1966
27;AL;1994;415
28;SE;1994;220
29;BA;1994;1186
31;MG;1994;589
32;ES;1994;617
33;RJ;1994;5495
53;DF;1994;426
14;RR;1994;49
35;SP;1994;4432
41;PR;1994;823
16;AP;1994;55
15;PA;1994;430
42;SC;1994;215
12;AC;1995;59
53;DF;1995;491
52;GO;1995;540
51;MT;1995;351
50;MS;1995;457
43;RS;1995;1249
42;SC;1995;300
41;PR;1995;964
35;SP;1995;5472
33;RJ;1995;6736
32;ES;1995;638
31;MG;1995;742
29;BA;1995;1091
28;SE;1995;141
27;AL;1995;502
26;PE;1995;2176
11;RO;1995;167
13;AM;1995;202
14;RR;1995;55
15;PA;1995;414
16;AP;1995;58
17;TO;1995;43
21;MA;1995;169
22;PI;1995;59
23;CE;1995;400
24;RN;1995;153
25;PB;1995;255
25;PB;1996;275
17;TO;1996;49
16;AP;1996;89
15;PA;1996;349
26;PE;1996;2326
24;RN;1996;144
41;PR;1996;790
23;CE;1996;355
22;PI;1996;40
21;MA;1996;188
14;RR;1996;50
53;DF;1996;435
52;GO;1996;472
51;MT;1996;430
50;MS;1996;468
43;RS;1996;1006
42;SC;1996;220
28;SE;1996;153
29;BA;1996;1488
31;MG;1996;650
13;AM;1996;220
12;AC;1996;61
11;RO;1996;196
35;SP;1996;5365
33;RJ;1996;6021
32;ES;1996;662
27;AL;1996;516
17;TO;1997;50
22;PI;1997;46
23;CE;1997;452
24;RN;1997;153
25;PB;1997;327
27;AL;1997;480
28;SE;1997;117
29;BA;1997;1426
31;MG;1997;732
32;ES;1997;955
33;RJ;1997;6162
35;SP;1997;5378
41;PR;1997;898
42;SC;1997;232
43;RS;1997;1153
50;MS;1997;495
51;MT;1997;439
52;GO;1997;431
53;DF;1997;432
26;PE;1997;3000
11;RO;1997;206
12;AC;1997;55
13;AM;1997;202
14;RR;1997;40
15;PA;1997;407
16;AP;1997;57
21;MA;1997;148
51;MT;1998;538
11;RO;1998;311
12;AC;1998;58
13;AM;1998;228
14;RR;1998;54
15;PA;1998;438
16;AP;1998;71
17;TO;1998;78
21;MA;1998;130
22;PI;1998;40
23;CE;1998;483
24;RN;1998;140
25;PB;1998;292
26;PE;1998;3653
27;AL;1998;414
28;SE;1998;105
29;BA;1998;799
31;MG;1998;865
32;ES;1998;1161
33;RJ;1998;5982
35;SP;1998;6303
41;PR;1998;962
42;SC;1998;204
43;RS;1998;1062
50;MS;1998;419
52;GO;1998;435
53;DF;1998;474
50;MS;1999;351
51;MT;1999;476
52;GO;1999;537
53;DF;1999;455
43;RS;1999;1088
42;SC;1999;189
41;PR;1999;1029
35;SP;1999;8023
27;AL;1999;382
26;PE;1999;3611
25;PB;1999;256
24;RN;1999;138
23;CE;1999;528
22;PI;1999;56
21;MA;1999;102
17;TO;1999;70
33;RJ;1999;6009
32;ES;1999;1121
31;MG;1999;726
29;BA;1999;552
28;SE;1999;216
12;AC;1999;14
11;RO;1999;322
13;AM;1999;222
14;RR;1999;60
15;PA;1999;345
16;AP;1999;60
21;MA;2000;142
24;RN;2000;147
25;PB;2000;372
53;DF;2000;501
52;GO;2000;709
51;MT;2000;691
50;MS;2000;449
43;RS;2000;1255
42;SC;2000;231
41;PR;2000;1103
35;SP;2000;9652
33;RJ;2000;6148
32;ES;2000;1007
31;MG;2000;1425
29;BA;2000;766
28;SE;2000;280
27;AL;2000;484
26;PE;2000;3617
22;PI;2000;98
13;AM;2000;247
11;RO;2000;277
12;AC;2000;39
14;RR;2000;47
15;PA;2000;461
16;AP;2000;33
17;TO;2000;98
23;CE;2000;663
32;ES;2001;1019
22;PI;2001;102
23;CE;2001;638
24;RN;2001;216
25;PB;2001;346
26;PE;2001;3950
27;AL;2001;604
28;SE;2001;367
17;TO;2001;132
16;AP;2001;43
15;PA;2001;544
14;RR;2001;42
13;AM;2001;199
12;AC;2001;54
11;RO;2001;377
21;MA;2001;222
29;BA;2001;1129
53;DF;2001;495
52;GO;2001;753
51;MT;2001;582
50;MS;2001;395
43;RS;2001;1344
42;SC;2001;278
41;PR;2001;1287
35;SP;2001;10667
33;RJ;2001;6147
31;MG;2001;1558
13;AM;2002;201
12;AC;2002;66
53;DF;2002;469
52;GO;2002;895
51;MT;2002;582
11;RO;2002;393
24;RN;2002;193
23;CE;2002;742
25;PB;2002;425
26;PE;2002;3639
27;AL;2002;720
28;SE;2002;403
29;BA;2002;1220
31;MG;2002;2051
32;ES;2002;1221
33;RJ;2002;6715
35;SP;2002;9453
41;PR;2002;1522
42;SC;2002;329
43;RS;2002;1374
50;MS;2002;421
22;PI;2002;120
21;MA;2002;253
17;TO;2002;84
16;AP;2002;50
15;PA;2002;694
14;RR;2002;48
33;RJ;2003;6661
53;DF;2003;562
52;GO;2003;868
11;RO;2003;381
12;AC;2003;57
13;AM;2003;171
14;RR;2003;41
15;PA;2003;872
16;AP;2003;70
17;TO;2003;99
21;MA;2003;354
22;PI;2003;143
23;CE;2003;847
24;RN;2003;289
25;PB;2003;460
26;PE;2003;3767
27;AL;2003;774
28;SE;2003;339
29;BA;2003;1590
31;MG;2003;2820
32;ES;2003;1179
35;SP;2003;9717
41;PR;2003;1772
42;SC;2003;423
43;RS;2003;1368
51;MT;2003;555
50;MS;2003;430
50;MS;2004;391
11;RO;2004;334
53;DF;2004;506
52;GO;2004;988
51;MT;2004;454
12;AC;2004;49
13;AM;2004;227
14;RR;2004;31
15;PA;2004;969
16;AP;2004;74
17;TO;2004;102
21;MA;2004;358
22;PI;2004;131
23;CE;2004;916
24;RN;2004;237
25;PB;2004;472
26;PE;2004;3344
27;AL;2004;754
28;SE;2004;301
29;BA;2004;1591
31;MG;2004;3259
32;ES;2004;1188
33;RJ;2004;6550
35;SP;2004;7744
41;PR;2004;1933
42;SC;2004;386
43;RS;2004;1435
42;SC;2005;395
11;RO;2005;367
12;AC;2005;37
13;AM;2005;264
14;RR;2005;30
15;PA;2005;1195
16;AP;2005;55
17;TO;2005;78
21;MA;2005;489
22;PI;2005;151
23;CE;2005;1014
26;PE;2005;3510
27;AL;2005;909
28;SE;2005;318
29;BA;2005;2087
31;MG;2005;3105
32;ES;2005;1189
33;RJ;2005;6302
35;SP;2005;5934
41;PR;2005;2039
43;RS;2005;1473
50;MS;2005;348
51;MT;2005;488
52;GO;2005;939
24;RN;2005;268
53;DF;2005;452
25;PB;2005;543
29;BA;2006;2426
51;MT;2006;498
50;MS;2006;376
43;RS;2006;1437
52;GO;2006;985
31;MG;2006;3077
42;SC;2006;388
53;DF;2006;435
11;RO;2006;384
41;PR;2006;2236
32;ES;2006;1294
33;RJ;2006;6080
12;AC;2006;50
13;AM;2006;379
14;RR;2006;38
15;PA;2006;1296
16;AP;2006;75
17;TO;2006;87
21;MA;2006;485
22;PI;2006;192
23;CE;2006;1060
24;RN;2006;306
25;PB;2006;629
35;SP;2006;5962
26;PE;2006;3594
27;AL;2006;1310
28;SE;2006;404
35;SP;2007;4327
27;AL;2007;1553
21;MA;2007;603
53;DF;2007;517
52;GO;2007;1009
51;MT;2007;543
50;MS;2007;411
43;RS;2007;1679
42;SC;2007;378
41;PR;2007;2292
33;RJ;2007;5349
32;ES;2007;1363
31;MG;2007;2988
29;BA;2007;2732
28;SE;2007;348
26;PE;2007;3707
25;PB;2007;659
24;RN;2007;438
23;CE;2007;1225
22;PI;2007;184
17;TO;2007;91
16;AP;2007;62
15;PA;2007;1386
14;RR;2007;28
13;AM;2007;415
12;AC;2007;53
11;RO;2007;321
41;PR;2008;2545
42;SC;2008;512
43;RS;2008;1809
50;MS;2008;398
51;MT;2008;573
33;RJ;2008;4615
32;ES;2008;1496
31;MG;2008;2764
29;BA;2008;3861
21;MA;2008;702
53;DF;2008;579
11;RO;2008;286
12;AC;2008;40
13;AM;2008;446
14;RR;2008;30
15;PA;2008;1932
16;AP;2008;65
17;TO;2008;98
22;PI;2008;160
23;CE;2008;1332
24;RN;2008;536
25;PB;2008;752
26;PE;2008;3452
27;AL;2008;1596
28;SE;2008;369
52;GO;2008;1201
35;SP;2008;4079
15;PA;2009;2038
24;RN;2009;620
23;CE;2009;1512
22;PI;2009;184
21;MA;2009;786
17;TO;2009;129
16;AP;2009;69
14;RR;2009;28
13;AM;2009;572
12;AC;2009;61
11;RO;2009;353
53;DF;2009;668
52;GO;2009;1260
51;MT;2009;576
50;MS;2009;431
43;RS;2009;1656
42;SC;2009;516
41;PR;2009;2692
35;SP;2009;4064
33;RJ;2009;4310
32;ES;2009;1549
31;MG;2009;2604
29;BA;2009;4410
28;SE;2009;451
27;AL;2009;1560
26;PE;2009;3119
25;PB;2009;1019
53;DF;2010;576
52;GO;2010;1317
51;MT;2010;567
43;RS;2010;1514
42;SC;2010;485
41;PR;2010;2641
22;PI;2010;207
50;MS;2010;354
11;RO;2010;352
12;AC;2010;63
13;AM;2010;635
14;RR;2010;29
15;PA;2010;2507
16;AP;2010;103
17;TO;2010;133
21;MA;2010;831
23;CE;2010;2058
26;PE;2010;2652
27;AL;2010;1721
28;SE;2010;452
25;PB;2010;1208
29;BA;2010;4528
31;MG;2010;2462
32;ES;2010;1359
33;RJ;2010;4525
35;SP;2010;3660
24;RN;2010;611
41;PR;2011;2421
23;CE;2011;2065
24;RN;2011;788
25;PB;2011;1379
26;PE;2011;2546
27;AL;2011;1913
28;SE;2011;523
29;BA;2011;4256
31;MG;2011;3002
32;ES;2011;1352
33;RJ;2011;3630
35;SP;2011;3442
42;SC;2011;491
43;RS;2011;1554
51;MT;2011;621
52;GO;2011;1580
53;DF;2011;658
50;MS;2011;371
13;AM;2011;879
11;RO;2011;288
12;AC;2011;50
14;RR;2011;25
15;PA;2011;2081
16;AP;2011;80
17;TO;2011;160
21;MA;2011;944
22;PI;2011;255
32;ES;2012;1335
29;BA;2012;4804
28;SE;2012;648
27;AL;2012;1737
26;PE;2012;2476
25;PB;2012;1224
24;RN;2012;857
23;CE;2012;3135
22;PI;2012;311
12;AC;2012;85
11;RO;2012;340
21;MA;2012;1154
17;TO;2012;178
16;AP;2012;117
15;PA;2012;2138
14;RR;2012;33
13;AM;2012;855
35;SP;2012;4071
41;PR;2012;2467
42;SC;2012;501
43;RS;2012;1756
50;MS;2012;338
51;MT;2012;655
52;GO;2012;1955
53;DF;2012;727
33;RJ;2012;3658
31;MG;2012;3232
14;RR;2013;70
11;RO;2013;302
13;AM;2013;695
15;PA;2013;2231
16;AP;2013;104
17;TO;2013;146
21;MA;2013;1397
22;PI;2013;368
23;CE;2013;3656
24;RN;2013;1150
25;PB;2013;1258
26;PE;2013;2299
27;AL;2013;1860
28;SE;2013;732
29;BA;2013;4431
31;MG;2013;3472
32;ES;2013;1293
33;RJ;2013;3780
35;SP;2013;3593
41;PR;2013;2051
42;SC;2013;456
43;RS;2013;1723
50;MS;2013;320
51;MT;2013;749
52;GO;2013;2141
53;DF;2013;595
12;AC;2013;95
31;MG;2014;3384
16;AP;2014;152
26;PE;2014;2543
29;BA;2014;4810
28;SE;2014;898
27;AL;2014;1806
25;PB;2014;1253
24;RN;2014;1314
23;CE;2014;3796
22;PI;2014;456
21;MA;2014;1693
17;TO;2014;177
15;PA;2014;2308
14;RR;2014;47
13;AM;2014;762
12;AC;2014;115
11;RO;2014;403
33;RJ;2014;3963
53;DF;2014;633
52;GO;2014;2055
51;MT;2014;856
50;MS;2014;359
43;RS;2014;2070
42;SC;2014;541
41;PR;2014;2095
35;SP;2014;3774
32;ES;2014;1293
16;AP;2015;154
21;MA;2015;1718
22;PI;2015;401
23;CE;2015;3394
24;RN;2015;1239
25;PB;2015;1265
27;AL;2015;1476
28;SE;2015;1109
29;BA;2015;4782
31;MG;2015;3221
26;PE;2015;3065
15;PA;2015;2539
14;RR;2015;57
13;AM;2015;930
12;AC;2015;116
11;RO;2015;383
52;GO;2015;2163
53;DF;2015;490
32;ES;2015;1095
33;RJ;2015;3464
35;SP;2015;3374
41;PR;2015;2047
42;SC;2015;595
43;RS;2015;2308
50;MS;2015;324
51;MT;2015;773
17;TO;2015;284
42;SC;2016;631
17;TO;2016;323
53;DF;2016;518
52;GO;2016;2152
51;MT;2016;753
50;MS;2016;345
43;RS;2016;2547
41;PR;2016;2214
35;SP;2016;2976
33;RJ;2016;4557
32;ES;2016;971
31;MG;2016;3328
29;BA;2016;5814
28;SE;2016;1260
27;AL;2016;1546
26;PE;2016;3482
25;PB;2016;1060
24;RN;2016;1571
23;CE;2016;2913
22;PI;2016;440
21;MA;2016;1625
16;AP;2016;222
15;PA;2016;3051
14;RR;2016;73
13;AM;2016;791
12;AC;2016;226
11;RO;2016;468
53;DF;2017;403
29;BA;2017;6041
28;SE;2017;1110
27;AL;2017;1528
15;PA;2017;3397
14;RR;2017;93
13;AM;2017;975
12;AC;2017;384
11;RO;2017;373
24;RN;2017;1930
25;PB;2017;1058
26;PE;2017;4482
32;ES;2017;1230
33;RJ;2017;4956
35;SP;2017;2830
41;PR;2017;1928
17;TO;2017;336
16;AP;2017;228
23;CE;2017;4699
52;GO;2017;2102
51;MT;2017;675
50;MS;2017;354
43;RS;2017;2632
21;MA;2017;1483
42;SC;2017;679
31;MG;2017;3088
22;PI;2017;378
11;RO;2018;301
12;AC;2018;311
13;AM;2018;962
14;RR;2018;182
15;PA;2018;3461
16;AP;2018;293
17;TO;2018;338
21;MA;2018;1286
22;PI;2018;375
23;CE;2018;4211
24;RN;2018;1640
25;PB;2018;1013
31;MG;2018;2254
32;ES;2018;893
29;BA;2018;5580
41;PR;2018;1655
42;SC;2018;487
43;RS;2018;2110
50;MS;2018;280
51;MT;2018;584
52;GO;2018;1936
33;RJ;2018;5097
35;SP;2018;2138
53;DF;2018;331
26;PE;2018;3371
27;AL;2018;1180
28;SE;2018;959
17;TO;2019;259
25;PB;2019;722
26;PE;2019;2713
27;AL;2019;833
28;SE;2019;776
29;BA;2019;4998
31;MG;2019;1905
32;ES;2019;786
33;RJ;2019;2630
35;SP;2019;1925
41;PR;2019;1385
42;SC;2019;416
43;RS;2019;1622
50;MS;2019;245
51;MT;2019;495
52;GO;2019;1603
53;DF;2019;264
24;RN;2019;1182
23;CE;2019;1918
22;PI;2019;350
21;MA;2019;1075
16;AP;2019;259
15;PA;2019;2390
14;RR;2019;84
13;AM;2019;981
12;AC;2019;222
11;RO;2019;264
14;RR;2020;103
13;AM;2020;782
12;AC;2020;228
11;RO;2020;256
29;BA;2020;5831
28;SE;2020;826
27;AL;2020;957
26;PE;2020;3083
25;PB;2020;919
24;RN;2020;1225
23;CE;2020;3451
22;PI;2020;438
21;MA;2020;1451
17;TO;2020;284
16;AP;2020;291
15;PA;2020;1922
31;MG;2020;1714
32;ES;2020;934
33;RJ;2020;3335
35;SP;2020;1920
41;PR;2020;1633
42;SC;2020;411
43;RS;2020;1558
50;MS;2020;221
51;MT;2020;608
52;GO;2020;1555
53;DF;2020;259
31;MG;2021;1706
32;ES;2021;911
33;RJ;2021;3702
35;SP;2021;1931
41;PR;2021;1721
42;SC;2021;459
43;RS;2021;1560
50;MS;2021;315
51;MT;2021;579
52;GO;2021;1231
53;DF;2021;245
15;PA;2021;2047
12;AC;2021;125
13;AM;2021;1280
14;RR;2021;108
11;RO;2021;359
16;AP;2021;374
17;TO;2021;272
21;MA;2021;1477
22;PI;2021;584
23;CE;2021;3016
24;RN;2021;1038
25;PB;2021;942
26;PE;2021;2833
27;AL;2021;799
28;SE;2021;674
29;BA;2021;6090
16;AP;2022;298
13;AM;2022;1207
29;BA;2022;5713
23;CE;2022;2689
53;DF;2022;227
32;ES;2022;873
52;GO;2022;1153
21;MA;2022;1413
51;MT;2022;736
42;SC;2022;430
35;SP;2022;2397
15;PA;2022;2149
31;MG;2022;1945
41;PR;2022;1997
26;PE;2022;2769
25;PB;2022;948
22;PI;2022;633
33;RJ;2022;2883
28;SE;2022;655
24;RN;2022;1003
43;RS;2022;1679
50;MS;2022;323
11;RO;2022;412
14;RR;2022;106
17;TO;2022;278
12;AC;2022;144
27;AL;2022;859
